date,date_yyyymmdd,sector,price,return
1998-12-31,19981231,XLY,19.319095611572266,
1999-01-31,19990131,XLY,20.312774658203125,0.051435070595936105
1999-02-28,19990228,XLY,20.185688018798828,-0.0062564884188764935
1999-03-31,19990331,XLY,21.16766357421875,0.04864711841902114
1999-04-30,19990430,XLY,21.72287940979004,0.026229434043326227
1999-05-31,19990531,XLY,20.739688873291016,-0.04526059911081215
1999-06-30,19990630,XLY,22.076452255249023,0.06445436043544106
1999-07-31,19990731,XLY,20.431713104248047,-0.07450196852213486
1999-08-31,19990831,XLY,19.644094467163086,-0.03854883009889187
1999-09-30,19990930,XLY,19.358970642089844,-0.014514480448556855
1999-10-31,19991031,XLY,21.07564353942871,0.08867583556361791
1999-11-30,19991130,XLY,21.087236404418945,0.0005500598341656726
1999-12-31,19991231,XLY,23.087970733642578,0.09487892537707632
2000-01-31,20000131,XLY,20.219392776489258,-0.12424556450833413
2000-02-29,20000229,XLY,19.092870712280273,-0.055714930545237906
2000-03-31,20000331,XLY,21.794832229614258,0.1415167765000429
2000-04-30,20000430,XLY,21.341014862060547,-0.020822246428539914
2000-05-31,20000531,XLY,20.18902015686035,-0.053980315024670156
2000-06-30,20000630,XLY,19.09676742553711,-0.05410132452377037
2000-07-31,20000731,XLY,19.399892807006836,0.015873125263303534
2000-08-31,20000831,XLY,18.595443725585938,-0.041466676616395914
2000-09-30,20000930,XLY,18.618215560913086,0.0012245921992071196
2000-10-31,20001031,XLY,18.384464263916016,-0.012554978549491391
2000-11-30,20001130,XLY,17.928653717041016,-0.024793246097991495
2000-12-31,20001231,XLY,19.19208526611328,0.0704699621629361
2001-01-31,20010131,XLY,21.423913955688477,0.11628901490531862
2001-02-28,20010228,XLY,19.894161224365234,-0.07140398035985684
2001-03-31,20010331,XLY,19.60405921936035,-0.014582268723628444
2001-04-30,20010430,XLY,20.51325225830078,0.04637779496414396
2001-05-31,20010531,XLY,21.00166130065918,0.023809439683595723
2001-06-30,20010630,XLY,20.836284637451172,-0.007874456255649531
2001-07-31,20010731,XLY,21.762502670288086,0.04445216836652954
2001-08-31,20010831,XLY,19.85735511779785,-0.08754266829298518
2001-09-30,20010930,XLY,17.349048614501953,-0.12631624344813885
2001-10-31,20011031,XLY,18.262956619262695,0.05267770153095386
2001-11-30,20011130,XLY,20.694992065429688,0.13316767360668336
2001-12-31,20011231,XLY,21.635257720947266,0.04543445354049025
2002-01-31,20020131,XLY,22.346345901489258,0.03286710006941651
2002-02-28,20020228,XLY,22.467395782470703,0.005416987704167653
2002-03-31,20020331,XLY,22.753211975097656,0.012721376139639196
2002-04-30,20020430,XLY,22.11697769165039,-0.027962394238826405
2002-05-31,20020531,XLY,22.003366470336914,-0.005136833020199072
2002-06-30,20020630,XLY,20.844436645507812,-0.05267056867827358
2002-07-31,20020731,XLY,18.35555076599121,-0.1194028853762753
2002-08-31,20020831,XLY,18.909488677978516,0.030178223418587447
2002-09-30,20020930,XLY,17.223691940307617,-0.08915083672432311
2002-10-31,20021031,XLY,18.3861141204834,0.06748972195998415
2002-11-30,20021130,XLY,19.237041473388672,0.04628097853245028
2002-12-31,20021231,XLY,17.598115921020508,-0.0851963413727288
2003-01-31,20030131,XLY,17.011764526367188,-0.03331898694637747
2003-02-28,20030228,XLY,16.935623168945312,-0.004475805981434822
2003-03-31,20030331,XLY,17.33374786376953,0.023508121954098238
2003-04-30,20030430,XLY,19.362241744995117,0.11702569445269728
2003-05-31,20030531,XLY,20.39175033569336,0.05317093982489696
2003-06-30,20030630,XLY,20.687366485595703,0.014496850198528755
2003-07-31,20030731,XLY,21.069194793701172,0.018457076611048118
2003-08-31,20030831,XLY,22.145944595336914,0.05110540825972354
2003-09-30,20030930,XLY,21.089088439941406,-0.04772233357876465
2003-10-31,20031031,XLY,23.00836753845215,0.09100815826993025
2003-11-30,20031130,XLY,23.214824676513672,0.008973132827285069
2003-12-31,20031231,XLY,24.144630432128906,0.04005224112486694
2004-01-31,20040131,XLY,24.006607055664062,-0.005716524709410309
2004-02-29,20040229,XLY,24.527992248535156,0.021718404090264043
2004-03-31,20040331,XLY,24.376619338989258,-0.0061714349879141706
2004-04-30,20040430,XLY,24.1002254486084,-0.011338483262885446
2004-05-31,20040531,XLY,24.253782272338867,0.006371592832519868
2004-06-30,20040630,XLY,24.31646728515625,0.002584545870557786
2004-07-31,20040731,XLY,23.393932342529297,-0.037938691167943905
2004-08-31,20040831,XLY,23.347801208496094,-0.0019719273082335897
2004-09-30,20040930,XLY,24.02107810974121,0.028836844002257278
2004-10-31,20041031,XLY,24.991159439086914,0.04038458744082374
2004-11-30,20041130,XLY,26.038238525390625,0.04189797951775098
2004-12-31,20041231,XLY,27.254619598388672,0.04671518281898823
2005-01-31,20050131,XLY,26.08843421936035,-0.04278853993241083
2005-02-28,20050228,XLY,25.94940948486328,-0.005328979628601016
2005-03-31,20050331,XLY,25.64617347717285,-0.011685661204248632
2005-04-30,20050430,XLY,24.0142822265625,-0.06363098386053057
2005-05-31,20050531,XLY,25.499223709106445,0.06183576375651301
2005-06-30,20050630,XLY,25.389307022094727,-0.004310589540514664
2005-07-31,20050731,XLY,26.82994270324707,0.056741827569324776
2005-08-31,20050831,XLY,25.94696617126465,-0.03291011619922546
2005-09-30,20050930,XLY,25.209529876708984,-0.028420906308975313
2005-10-31,20051031,XLY,24.697423934936523,-0.020313982223270077
2005-11-30,20051130,XLY,25.68282699584961,0.03989902199958406
2005-12-31,20051231,XLY,25.463031768798828,-0.00855806205003451
2006-01-31,20060131,XLY,25.91536521911621,0.01776432022802754
2006-02-28,20060228,XLY,26.10252571105957,0.007221989362716119
2006-03-31,20060331,XLY,26.25612449645996,0.005884441494307557
2006-04-30,20060430,XLY,26.59153175354004,0.012774438859981085
2006-05-31,20060531,XLY,26.146921157836914,-0.016720006948976684
2006-06-30,20060630,XLY,26.101167678833008,-0.0017498610535333636
2006-07-31,20060731,XLY,25.23346710205078,-0.033243745546521875
2006-08-31,20060831,XLY,25.733747482299805,0.019826065844450014
2006-09-30,20060930,XLY,27.373172760009766,0.06370721088475717
2006-10-31,20061031,XLY,29.14322280883789,0.06466367871736223
2006-11-30,20061130,XLY,29.511348724365234,0.012631613117808804
2006-12-31,20061231,XLY,30.15130043029785,0.02168493591769516
2007-01-31,20070131,XLY,31.01589584350586,0.02867522796261257
2007-02-28,20070228,XLY,30.088411331176758,-0.029903521633191765
2007-03-31,20070331,XLY,29.946168899536133,-0.004727482287947726
2007-04-30,20070430,XLY,30.654882431030273,0.02366625039322212
2007-05-31,20070531,XLY,31.57615852355957,0.030053160197304862
2007-06-30,20070630,XLY,31.024553298950195,-0.017469041530109197
2007-07-31,20070731,XLY,29.186586380004883,-0.0592423330397317
2007-08-31,20070831,XLY,29.368019104003906,0.006216305039472569
2007-09-30,20070930,XLY,29.109670639038086,-0.008796931929624052
2007-10-31,20071031,XLY,28.967395782470703,-0.00488754607812647
2007-11-30,20071130,XLY,27.386642456054688,-0.05457008763530591
2007-12-31,20071231,XLY,26.030147552490234,-0.04953125983738682
2008-01-31,20080131,XLY,25.934640884399414,-0.0036690790130262663
2008-02-29,20080229,XLY,24.9316349029541,-0.03867437324141454
2008-03-31,20080331,XLY,24.486238479614258,-0.017864709838465886
2008-04-30,20080430,XLY,25.068099975585938,0.023762796252111196
2008-05-31,20080531,XLY,25.753589630126953,0.02734509816095443
2008-06-30,20080630,XLY,22.78309440612793,-0.11534295865785216
2008-07-31,20080731,XLY,22.823089599609375,0.0017554767920677783
2008-08-31,20080831,XLY,24.39902687072754,0.06905012856564063
2008-09-30,20080930,XLY,22.397764205932617,-0.08202223291109678
2008-10-31,20081031,XLY,18.448049545288086,-0.1763441486538352
2008-11-30,20081130,XLY,16.44910430908203,-0.1083553701055956
2008-12-31,20081231,XLY,17.447704315185547,0.06070847307790239
2009-01-31,20090131,XLY,15.59536075592041,-0.10616546026934648
2009-02-28,20090228,XLY,14.179805755615234,-0.09076769832129683
2009-03-31,20090331,XLY,15.980292320251465,0.12697540401237406
2009-04-30,20090430,XLY,18.94051742553711,0.18524223749863555
