Close_XLK,High_XLK,Low_XLK,Open_XLK,Volume_XLK,ticker,date,adj_close,return,industry,year,year_month,industry_return,industry_volatility,Close_XLF,High_XLF,Low_XLF,Open_XLF,Volume_XLF,Close_XLE,High_XLE,Low_XLE,Open_XLE,Volume_XLE,Close_XLY,High_XLY,Low_XLY,Open_XLY,Volume_XLY,gdp,cpi,gs1,gs10
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,18.83380889892578,18.83380889892578,18.71826405905507,18.71826405905507,3700.0,,164.4,4.52,4.65
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,18.91469383239746,19.041793180080035,18.833812429326738,18.856921401632658,12000.0,,164.4,4.52,4.65
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,19.319093704223633,19.411529559267763,19.319093704223633,19.342202667984665,32400.0,,164.4,4.52,4.65
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,19.261323928833008,19.261323928833008,19.088006676923893,19.180442544608752,1600.0,,164.4,4.52,4.65
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,19.342208862304688,19.52708063159792,19.342208862304688,19.49241717485544,31700.0,,164.4,4.52,4.65
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,19.088003158569336,19.18043900921616,19.088003158569336,19.168884527885307,8600.0,,164.4,4.52,4.65
,,,,,XLY,19981201,,,Consumer,1998,199812,,,,,,,,,,,,,19.503976821899418,19.503976821899418,19.145787674103868,19.145787674103868,1100.0,,164.4,4.52,4.65
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.977699279785156,20.17412547281948,19.81593653258042,20.15101650893309,63100.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.457754135131836,19.73506179501495,19.43464516347491,19.677289365872635,3300.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.55019187927246,19.55019187927246,18.99557650681083,18.99557650681083,3400.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.11111640930176,19.457750927003723,19.01868053791457,19.365315055616534,36600.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.342208862304688,19.65417997298702,19.342208862304688,19.57329857392123,4100.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.66573143005371,19.850603170876777,19.538632108237852,19.619513494847943,3500.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.353755950927734,19.3768649132572,19.261320101609872,19.365310432092468,34800.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,20.058584213256836,20.197238021182574,19.966148341306344,19.989257309293965,13700.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,20.081687927246097,20.266559622778853,20.0470244843337,20.174123775012475,18600.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.20355224609375,19.619513666586755,19.157334310483417,19.34220605292475,5200.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,19.527080535888672,19.527080535888672,19.319099796453173,19.319099796453173,1300.0,13315.597,164.7,4.51,4.72
,,,,,XLY,19990101,,,Consumer,1999,199901,,,,,,,,,,,,,20.081687927246097,20.081687927246097,19.758162460063765,19.758162460063765,8100.0,13315.597,164.7,4.51,4.72
